#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,1,0,12,410.25,86.90,90.00,0805,0805/22,0.60,100,2.80,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,2,0,12,410.53,100.32,90.00,0805,0805/2.2uF 16V,0.60,100,3.30,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,5,0,12,410.92,140.91,90.00,0805,0805/100k,0.80,100,3.00,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,6,0,12,410.90,154.41,90.00,0805,0805/510ohm,0.90,100,2.60,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,7,0,12,411.07,168.26,90.00,,SOT25/INA180A4,0.30,100,3.50,100,No,-40,1,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,8,0,12,411.03,249.31,90.00,,SOT23/BAV99,0.30,100,3.40,100,No,-40,1,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,14,0,12,410.71,331.15,90.00,0805,0805/Amber LED,0.50,100,3.00,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,15,0,12,410.60,344.91,90.00,0805,0805/Red LED,0.30,100,3.00,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,16,0,12,410.84,358.51,90.00,0805,0805/Green LED,0.50,100,3.00,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,17,0,1,411.00,374.55,90.00,TMD2672x,TMD267x,0.30,100,3.50,100,No,-40,1,60,8,50,80,No,No,-40,-40,-40,-40,-490,-443,1,1,
stack,21,0,12,24.19,32.89,-90.00,0805,0805/1k,0.90,100,2.60,100,No,-40,2,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,23,0,12,23.98,60.09,-90.00,0805,0805/0.1uF 25V,0.70,100,3.10,100,No,-40,2,100,4,50,100,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,24,0,12,23.81,73.47,-90.00,0805,0805/1uF 25V,1.00,100,3.30,100,No,-40,2,60,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,25,0,12,24.06,87.11,-90.00,0805,0805/10uF 25V,0.40,100,3.50,100,No,-40,2,60,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,27,0,12,24.18,114.27,-90.00,,SOT26/DMN5L06DMK,0.50,100,3.30,100,No,-40,1,100,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,28,0,12,24.42,127.84,-90.00,,CDBM140,0.70,100,3.70,100,No,-40,2,60,4,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,29,0,3,24.01,143.02,-90.00,,SOT89/AP7381,0.00,100,4.00,100,No,-40,1,100,8,50,80,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,31,0,1,24.55,180.46,-90.00,,Qwiic,0.20,100,5.40,100,No,-40,1,60,12,50,100,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,32,0,3,24.18,201.69,-90.00,,FSM4JSMA,0.30,250,6.80,100,No,-40,1,40,12,50,100,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,49,1,3,390.21,32.01,0.00,SOP8,SO8/ATtiny13,0.30,250,3.50,100,No,-40,1,100,1,1,400.00,35.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
stack,98,1,3,390.31,46.81,0.00,SOP8,SO8/ATtiny85,0.30,250,4.10,100,No,-40,1,60,1,1,150.00,400.00,1,1,No,No,-40,-40,-40,-40,-1,-1,0,0,
pcb,Manual,Trace,100,100,316.89,324.48,Front,10,10,0,
mark,Whole,Auto,286.722,111.479,345.931,296.133,287.15,296.216,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
test,No,
mirror_create,5,1,329.61,111.41,0,0,329.65,293.73,-0.0125731,
mirror,329.61,111.41,0,No,
mirror,329.62,156.99,0,Yes,
mirror,329.63,202.57,0,No,
mirror,329.64,248.15,0,Yes,
mirror,329.65,293.73,0,No,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,5,1,R1,100k,0805,329.64,111.59,0.00,No,
comp,21,2,R2,1k,0805,252.06,111.52,90.00,Yes,
comp,21,1,R4,1k,0805,250.53,138.25,180.00,Yes,
comp,21,2,R5,1k,0805,250.53,138.25,180.00,Yes,
comp,21,1,R6,1k,0805,250.53,138.25,180.00,Yes,
comp,6,2,R3,510ohm,0805,324.32,113.78,0.00,No,
comp,25,1,C1,10uF 25V,0805,310.34,100.15,90.00,No,
comp,24,2,C2,1uF 25V,0805,318.03,100.07,90.00,No,
comp,24,1,C5,1uF 25V,0805,329.65,109.32,0.00,No,
comp,23,2,C4,0.1uF 25V,0805,324.27,111.63,0.00,No,
comp,23,1,C6,0.1uF 25V,0805,333.36,103.82,90.00,No,
comp,23,2,C7,0.1uF 25V,0805,327.98,105.49,0.00,No,
comp,28,1,D1,CDBM140,,312.38,106.57,90.00,No,
comp,15,2,D2,Red LED,0805,338.59,106.65,90.00,No,
comp,16,1,D3,Green LED,0805,338.42,113.00,90.00,No,
comp,14,2,D5,Amber LED,0805,338.56,119.34,90.00,No,
comp,27,1,U2,DMN5L06DMK,SOT26,317.04,111.73,0.00,No,
comp,98,3,U3,ATtiny85,SO8,326.68,101.53,90.00,No,
comp,31,1,J1B,Qwiic,,304.62,98.35,180.00,No,
comp,29,3,U1,AP7381,SOT89,314.21,99.39,-90.00,No,
comp,7,1,U4,INA180A4,SOT25,324.28,108.72,0.00,No,
comp,8,2,D4,BAV99,SOT23,324.30,116.69,180.00,No,
comp,32,3,SW1,FSM4JSMA,,330.35,120.32,90.00,Yes,
